#NOTE: most objects use renderer centroid position. collider or mesh centroid is used where no renderer is available, which is similar. otw we use transform.position which is not guaranteed to be the centroid. check comment col for notes.
#name,x,y,z,qx,qy,qz,qw,comment
WaterSprinkler (2),-12,3.936357,35,0.7071068,0,0,-0.7071068,
Airventilation_3x,-12.2525,3.813432,38.43,0.7071068,0,0,-0.7071068,
W_3x,-18.7963,10.5,20.5867,0,0,0,1,
AirventilationGrid_A (10),-6.5,3.947191,11,0.7071068,0,0,-0.7071068,
W_2x_glass_A (5),-1,2.5,4.5,0.7071068,0,0,-0.7071068,
Files_Drawer (3),13.95666,1.395746,29.349,0.5,-0.5,-0.5,-0.5,
Paper01,11.825,1.78439,31.612,-0.5495825,0.4449262,0.4449261,0.5495823,
Mug (1),-3.360822,1.82179,32.94017,-0.7071068,0,0,0.7071068,
W_Pilar_Large (18),38,2.5,39.5,0,0,0,1,
Floor_12x4 (1),-10,0.9997301,15.5,0.7071068,0,0,-0.7071068,
TableScreen_C (2),18.07,1.527055,29.439,0.5,-0.5,-0.5,-0.5,
FolderHolder (2),-4.204,1.936996,38.601,-0.5302621,0.4677843,0.4677842,0.5302622,
Table_Office,26.23166,1.387727,26.113,-0.5,-0.5,-0.5,0.5,
Door_Metal_Gray,1.506692,2.150548,-0.4734018,0,-0.7071068,-0.7071068,0,
Door_Metal_Gray_Parent,0.4999998,3.15,-2,0,0.7071068,0,0.7071068,collider_centroid
Door_Metal_Gray_ParentMain,1.5,1,-0.5,0,0.7071068,0,0.7071068,transform_position
W_Pilar_Large (11),28,2.5,41,0,0,0,1,
Floor_12x1 (3),4,3.99973,3,0.5,-0.5,-0.5,-0.5,
Chair_Wood (3),5.02,1.499696,29.19,-0.5,-0.5,-0.5,0.5,
Lamp_SquareCeiling (4),-17.145,10.59501,33.028,-0.7071068,0,0,0.7071068,
PaperBag01 (2),28.05838,2.682133,33.83218,0.3136113,-0.6337572,-0.633757,-0.3136113,
Sign_Hanging,-16.369,3.643625,24.436,0.5,0.5,0.5,-0.5,
MousePad,26.67548,1.77598,26.61236,-0.4374699,0.555536,0.5555359,0.4374699,
CeilingLamp_Embed (8),-3.489863,3.995774,17.98768,0.7071068,0,0,-0.7071068,
W_2x_glass_DoorDouble,1,2.5,4.5,0.7071068,0,0,-0.7071068,
CeilingLamp_Embed (34),-19.49586,7.987774,22.98568,0.7071068,0,0,-0.7071068,
AirventilationGrid_A (1),-10,3.947191,35,0.7071068,0,0,-0.7071068,
LCD_ScreenSOLO_1,-17.97,7.019904,20.62398,-0.7071068,0,0,0.7071068,
Door_ParentScript,23.5,1,51.403,0,0,0,-1,transform_position
Cell_Shelf,26.07219,2.385,51.43,-0.5,-0.5,-0.5,0.5,
Cell_Toilet,25.5,1.235455,53.07195,0,-0.7071068,-0.7071068,0,
Door_Cell,23.50544,2.141304,51.89308,-0.5,0.5,0.5,0.5,
Door_Cell_Parent,23.5,1,51.903,0,0,0,-1,transform_position
Cell_Sink,25.9975,1.839938,52.252,-0.5,-0.5,-0.5,0.5,
Cell_Bed,25.093,1.165408,50.93089,-0.5,-0.5,-0.5,0.5,
Cell_Complete (4),24.9,2.402935,52,-0.5,-0.5,-0.5,0.5,
W_Pilar_Large (16),-2.899,2.5,21.779,0,0,0,1,
Airventilation_CrossSection,13.155,3.813432,26.5,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Files_Drawer (12),28.035,1.395746,29.936,-0.5,-0.5,-0.5,0.5,
Floor_6x3 (3),22,3.99973,53.5,-0.5,-0.5,-0.5,0.5,
Water_Dispenser,-16.07336,9.844218,21.82576,0.7071068,0,0,-0.7071068,
Water_DispenserMUG,-16.07997,9.618605,21.96226,0.7071068,0,0,-0.7071068,
Water_Dispenser,-16.075,9,21.818,0,0,0,1,transform_position
Box_Black (1),22.648,1.203043,27.337,0.5006503,0.4993489,0.4993488,-0.5006503,
Box_Cardboard,4.959546,1.122953,35.02121,-0.697654,-0.1152343,-0.1152342,0.697654,
Couch_1seat (7),-17.78962,9.481838,21.40283,0.7027686,0.07820746,0.07820745,-0.7027686,
W_1x,25.4133,2.5,47.5,0,0.7071068,0,-0.7071068,
Trashcan_Metal,-15.888,13.39499,21.857,0.7071068,0,0,-0.7071068,
W_6x (11),3.586702,2.5,18.5,0,0.7071068,0,0.7071068,
Floor_12x4 (4),1.5,0.9997299,15.5,-0.5,-0.5,-0.5,0.5,
Urinal_Partition,0.999381,2.170855,35.58613,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Painting_Pic,-14.38603,2.674528,29.64976,0.5,0.5,-0.5,0.5,
Box_Cardboard (2),14.011,1.279953,32.517,-0.5217943,-0.4772115,-0.4772114,0.5217943,
ElevatorDoor_L,-21.12776,2.170058,24.92733,1.545431E-08,0.7071068,-1.545431E-08,0.7071068,
ElevatorDoor_R,-21.12776,2.170058,27.06949,1.545431E-08,0.7071068,-1.545431E-08,0.7071068,
Elevator,-22.45235,2.297698,26,0,0.7071068,0,0.7071068,
Elevator_Panel_Inside,-21.2353,2.321,25.027,0,0.7071068,0,-0.7071068,
Elevator_Doors_Parent_Inside,-21.053,1,26,0,0.7071068,0,0.7071068,transform_position
Elevator_Doors,-21.053,1,26,0,0.7071068,0,0.7071068,transform_position
Elevator_CompleteInside,-22.5,1,26,0,0.7071068,0,0.7071068,transform_position
Elevator_CompleteInside_Parent (1),-22.5,1,26,0,0.7071068,0,0.7071068,transform_position
WindowBlinds_D (3),15.11,2.719713,22.62078,-0.7071068,0,0,0.7071067,
WaterSprinklerPipe_3x (9),22.5,3.832861,35,-0.5,-0.5,-0.5,0.5,
Couch_1seat (3),2.923131,1.476837,17.65584,-0.5,-0.5,-0.5,0.5,
Airventilation_3x (1),-14,3.813432,37.4925,0.5,-0.5,-0.5,-0.5,
WhiteBoard (1),18.24949,1.953871,36.35238,0,0.9770973,0,-0.2127935,
Floor_3x3 (1),22,3.99973,49,0.7071068,0,0,-0.7071068,
ToiletSign (1),28.38816,2.798,36.45332,0,0.7071068,0,-0.7071068,
FileFolder,13.18657,1.861,28.8404,-0.3081273,0.3081271,-0.6364415,0.6364414,
CeilingLamp_Embed (18),-4.500863,3.995774,22.99568,0.7071068,0,0,-0.7071068,
Floor_12x2 (5),-6,3.99973,26.5,0.7071068,0,0,-0.7071068,
W_3x (5),3.913297,2.5,29,0,0.7071068,0,-0.7071068,
Urinal (4),1.564,2.008278,35.68911,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Carpet_Full_Short,1,1.006732,18,0,0,0,1,
CeilingLamp_Embed (13),1.999137,3.995774,6.995681,0.7071068,0,0,-0.7071068,
LCD_ScreenSOLO_1 (1),22.00212,3.20475,35.025,-0.5,-0.5,-0.5,0.5,
Airventilation_3x (11),23,3.813432,51.9925,0.5,-0.5,-0.5,-0.5,
Floor_12x2 (6),15.5,3.99973,33.5,-0.5,-0.5,-0.5,0.5,
CeilingLamp_Embed (23),-4.000863,3.995774,6.995681,0.7071068,0,0,-0.7071068,
WaterSprinklerPipe_3x (8),19.5,3.832861,35,-0.5,-0.5,-0.5,0.5,
Couch_1seat (15),-15.06216,1.476838,22.25087,-0.7071068,0,0,0.7071068,
Chair_Spinning (1),-4.023667,1.553944,37.6212,0.6975765,-0.1157025,-0.1157025,-0.6975765,
Painting_Diploma (1),-2.635744,2.631538,35.55,-0.5,-0.5,-0.5,0.5,
W_1x (1),19.5867,2.5,47.5,0,0.7071068,0,0.7071068,
LCD_Screen_1 (4),-3.009759,1.998472,33.62077,-0.6532815,-0.2705981,-0.2705981,0.6532815,
Door_MetalDark,-2.493984,2.148414,4.486818,-0.7071068,0,0,0.7071068,
Door_MetalDark_Parent,-6.5,3.15,2,0,0.7071068,0,-0.7071068,collider_centroid
Door_MetalDark_ParentMain,-2.5,1,4.5,0,0.7071068,0,-0.7071068,transform_position
Chair_LeatherOffice (6),-4.102545,1.652415,34.61409,0.2705981,-0.6532815,-0.6532815,-0.2705981,
Table_Office (2),-13.20118,1.387727,33.143,0.5,-0.5,-0.5,-0.5,
WindowBlinds_B (4),-1.773,2.832277,9.522305,0.7071068,0,0,-0.7071068,
WindowBlinds_B,23.02972,2.302413,28.003,-0.5,-0.5,-0.5,0.5,
Floor_6x3 (1),9,0.9997299,30.5,-0.5,-0.5,-0.5,0.5,
WaterSprinklerPipe_3x (19),-13.5,3.832861,22.25,-0.5,-0.5,-0.5,0.5,
WaterSprinklerPipe_CornerRight (1),5.480033,3.832861,34.52105,-0.7071068,0,0,0.7071068,
Cell_Bars_Large (1),21.99902,2.249697,47.48421,0.7071068,0,0,-0.7071068,
Couch_1seat (11),19.08084,1.476838,23.19487,-0.7071068,0,0,0.7071068,
Couch_1seat (16),-11.85016,1.476838,22.25087,-0.7071068,0,0,0.7071068,
W_2x_glass_A (3),-7.5,2.5,27.5,0.7071068,0,0,-0.7071068,
WindowBlinds_B (1),23.02972,2.302413,24.052,-0.5,-0.5,-0.5,0.5,
W_6x_Window_Small (1),26,2.5,29.43695,0,1,0,-4.371139E-08,
Lamp_SquareCeiling (10),9,3.99001,32,0.7071068,0,0,-0.7071068,
W_2x_glass_A (2),-3.5,2.5,27.5,0.7071068,0,0,-0.7071068,
Floor_6x3 (11),1,3.99973,35,0.7071068,0,0,-0.7071068,
Plant_Inside_Large (2),-18.82263,5.809964,20.99036,-0.7071068,0,0,0.7071068,
Floor_6x3 (13),-19.5,7.99973,24.5,-0.5,-0.5,-0.5,0.5,
Lamp_Fluorescent_A_Hang,22.00656,3.763601,53.35024,-0.7071068,0,0,0.7071068,
Lamp_Fluorescent_A (2),22.013,3.438116,53.348,-0.7071068,0,0,0.7071068,
Floor_12x4 (10),22.5,0.9997301,35.5,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Trashcan,4.117856,1.191097,8.180182,-0.5,-0.5,-0.5,0.5,
TableScreen_E (5),-8.5,1.527055,18,0.7071068,0,0,-0.7071068,
Toilet_Paper,-0.969,2.044,31.07418,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Table_Flag (2),-12.99555,1.92719,33.79028,0.5,0.5000001,0.5,-0.5000001,
Door_L,-13.37763,2.250115,20.91282,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Door_R,-14.00241,2.250115,20.91281,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
MetalCabinet (1),-13.69,2.19126,21.1417,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Carpet_Full_Short (3),-19.5,9.005087,24.93592,0,0,0,1,
LCD_Screen_1 (3),-3.120395,1.998472,38.37688,0.2990709,0.640747,0.6407469,-0.2990707,
Table_Drawer,-10.93979,1.385484,33.44218,-0.5000001,0.5000001,-0.5000001,-0.5000001,
Table_DrawerSmall,-9.529364,1.385531,31.89304,-0.5000001,0.5000001,-0.5000001,-0.5000001,
Table_Main,-9.95927,1.385551,33.01373,-0.5000001,0.5000001,-0.5000001,-0.5000001,
Table_OfficeCorner (1),-9.178,1,33.795,0,0.7071068,0,-0.7071068,transform_position
AirventilationGrid_B (7),10,3.985444,31,0.7071068,0,0,-0.7071068,
Leather_Bench,11.427,1.245052,27.081,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Trashcan_Metal (10),38.028,1.39499,38.69,0.7071068,0,0,-0.7071068,
Carpet_Tile (4),2.384186E-07,1.006732,24.5,0,0.7071068,0,-0.7071068,
File_Papers,13.1717,1.976869,28.53481,0.5,0.5,0.5,-0.5,
Couch_1seat (19),-20.13416,1.476838,21.24787,-0.7071068,0,0,0.7071068,
AirventilationGrid_B (5),-18.487,15.99044,24.004,0.7071068,0,0,-0.7071068,
W_Pilar_Small (2),-9,2.5,9.5,0,0,0,1,
W_3x (2),23.4133,2.5,49,0,0.7071068,0,-0.7071068,
Painting_G,26.493,2.652,46.88498,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
W_Pilar_Large (12),28,2.5,47.03,0,0,0,1,
LCD_Screen_2 (3),-9.453585,2.024924,33.30508,0.3078824,0.6365598,0.63656,-0.3078824,
Box_Gray,5,1.121707,35.5,0.7071068,0,0,-0.7071068,
W_Pilar_Small (3),-16,2.5,15.5,0,0,0,1,
StairsMod_StepProtectors,-18.50208,3.071493,29.75111,0,0,0,1,
StairsMod_RailingInside_Loop,-18.50197,3.583733,29.72353,0,0,0,1,
StairsMod_RailingOutside,-18.5006,4.015867,30.531,0,0,0,1,
StairsMod_Ground,-18.5,4.996087,30.46915,0,0,0,1,
