#NOTE: most objects use renderer centroid position. collider or mesh centroid is used where no renderer is available, which is similar. otw we use transform.position which is not guaranteed to be the centroid. check comment col for notes.
#name,x,y,z,qx,qy,qz,qw,comment
Door1,-0.864459,1.862796,1.473096,5.270463E-05,0.7071068,0.7071068,-5.270463E-05,
Kallax_Doors,-1.355993,1.70706,1.473169,0,1,0,-7.45356E-05,transform_position
Books,-9.76,1.868602,-7.254001,-0.7071068,-3.576278E-07,-3.828366E-07,0.7071068,
Livslang_Tall,-16.10058,1.221551,-1.2265,-0.7071068,0,0,0.7071068,
Livslang_Short,-15.95617,1.161135,-1.2265,-0.7071068,0,0,0.7071068,
Livslang,-15.90058,1.1215,-1.2265,0,0,0,1,transform_position
Samspelt,-16.8599,2.7188,-5.45243,5.760181E-08,0.707099,-5.760053E-08,0.7071146,
Books,-2.863001,4.033065,1.577,-0.7071068,-9.685753E-08,-1.094214E-07,0.7071068,
Trunk_LOD0,-18.65544,5.409274,6.873702,-0.7057621,-0.04358758,-0.04358758,0.7057621,
Thorn,-19.19601,10.11109,6.844528,-0.7057621,-0.04358758,-0.04358758,0.7057621,
Branches,-19.21037,9.328651,6.921277,-0.7057621,-0.04358758,-0.04358758,0.7057621,
Tree_03_Vertex,-18.74,-0.92,7.24,0,-0.06164214,0,0.9980984,transform_position
Kitchen_Tiles,-14.91114,2.231054,1.999001,0,1,-8.146034E-08,0,
Kitcken_Accessory,-14.03,2.235538,1.922081,0,0.7071068,0.7071067,0,
Kitcken_Accessory,-13.23,2.229267,1.922081,0,0.7071068,0.7071067,0,
Kitchen_Accessory,-13.63,2.41,1.9986,0,1,0,0,transform_position
Ivy3_Plane,-6.275445,2.120517,1.696133,0,0.7071068,0.7071068,0,
Sinnersro_Tall,-3.737,0.8479394,0.8149999,-0.7071068,0,0,0.7071068,
Sinnersro_Short,-3.537027,0.7838039,0.8149999,-0.7071068,0,0,0.7071068,
Lyster,-3.631,0.7776465,0.6477,-0.7071068,0,0,0.7071068,
Sinnesro,-3.737,0.6974152,0.815,0,0,0,1,transform_position
Ypperlig_Chair,-14.65787,1.37656,0.5710347,-0.01033373,0.7070313,0.7070313,0.01033358,
Books2_3 (3),-2.956573,1.826358,1.61751,-0.5000376,-0.5000375,-0.4999626,-0.4999626,
Carpet_Kollund,2.309832,3.019677,-1.134721,-0.7071066,1.685874E-07,1.685874E-07,0.7071069,
Carpet_Kollund,-14.37917,0.9668736,-0.1157208,-0.7071066,1.685874E-07,1.685874E-07,0.7071069,
SilverBirchTrunk_02_LOD0,5.297041,5.772975,6.891331,6.657903E-08,0,0,1,
SilverBirchBranches_02_LOD0,5.000999,9.044971,6.820828,6.657903E-08,0,0,1,
SilverBirch_02_Vertex,5.16,0,7.03,0,0,0,1,transform_position
Svalnas_Metal,-3.519408,1.356662,-2.068816,-0.5000001,0.5000001,0.5000001,0.5000001,
Svalnas,-3.526263,1.338579,-2.0688,-0.5000001,0.5,0.5000001,0.5,
Svalnas,-3.7024,0.109,-2.156,0,0.7071068,0,0.7071068,transform_position
Trunk_LOD0,0.2168322,4.685421,7.369236,-0.4210496,-0.5680822,-0.5680822,0.4210496,
Thorn,0.3241207,8.849511,6.90195,-0.4210496,-0.5680822,-0.5680822,0.4210496,
Branches,0.2593233,8.156554,6.877804,-0.4210496,-0.5680822,-0.5680822,0.4210496,
Tree_03_Vertex,-0.09,-0.92,7.24,0,-0.8033895,0,0.595454,transform_position
Trunk_LOD0,-6.310925,4.250374,-10.25923,-0.7057621,-0.04358758,-0.04358758,0.7057621,
Thorn,-6.752515,8.091281,-10.28306,-0.7057621,-0.04358758,-0.04358758,0.7057621,
Branches,-6.764244,7.452106,-10.22036,-0.7057621,-0.04358758,-0.04358758,0.7057621,
Tree_03_Vertex,-6.38,-0.92,-9.96,0,-0.06164214,0,0.9980984,transform_position
Plastic_Chair_Leg,-9.959425,1.177147,-4.311246,0,0.7071068,0.7071068,0,
Plastic_Chair_Seat,-9.959574,1.586259,-4.312264,0,0.7071068,0.7071068,0,
Plastic_Chair,-9.959574,0.9614277,-4.312,0,1,0,0,transform_position
Books,-10.6583,1.841416,-7.2704,0.01666491,0.01666491,0.7069104,0.7069103,
Books,-12.849,1.993281,1.879987,-3.13893E-05,-0.7071068,-0.7071068,3.13893E-05,
Books,-3.62812,2.135878,-2.033956,-0.5,-0.5,-0.5,0.5,
Branas,4.043,3.2937,-2.228,-0.4884412,0.5112976,0.5112976,0.4884412,
Rocking_Chair,-7.961912,1.417277,0.111,-0.01248267,-0.7069966,-0.01248267,0.7069966,
Branas,0.014,3.7637,-0.4230512,-0.7071068,0,0,0.7071068,
Alseda,-2.495,0.2820699,0.7665471,-0.7071068,0,0,0.7071068,
Shower_Glass,-3.334626,4.026934,-3.551952,-0.4999964,0.5000038,0.5000038,0.4999964,
Shower,-3.339195,4.012072,-3.53981,-0.4999964,0.5000038,0.5000038,0.4999964,
Shower,-3.334,3.014231,-3.572,0,0.707112,0,0.7071016,transform_position
Alseda,-5.156,0.2820699,0.0995471,-0.7071068,0,0,0.7071068,
Books,-13.81188,2.644375,1.8482,0,0.7071068,0.7071068,0,
Props_Vase2,0.5650001,4.608291,-1.5262,-0.7071068,-6.28037E-16,6.28037E-16,0.7071068,
Book,-16.9435,2.713898,-6.334,-0.7071069,-0.7071067,-5.321577E-06,-5.35138E-06,
