instance_segmentation,-16.08654,-6.380778,2.459508,0.0,0.0,-0.06205328447821613,0.99807283796598
Graphics,-16.08035,-6.331163,2.459508,0.0,0.0,-0.06205328447821613,0.99807283796598
LidarObject,-16.25115,-6.326974,2.459508,0.0,0.0,-0.06205328447821613,0.99807283796598
rgb_right,-16.08654,-6.380778,2.459508,0.0,0.0,-0.06205328447821613,0.99807283796598
rgb_left,-16.07416,-6.281548,2.459508,0.0,0.0,-0.06205328447821613,0.99807283796598
LidarObject,-15.91376,-6.36909,2.459508,0.0,0.0,-0.06205328447821613,0.99807283796598
depth,-16.07416,-6.281548,2.459508,0.0,0.0,-0.06205328447821613,0.99807283796598
trunk_Lidar2D,-16.25115,-6.326974,2.459508,0.0,0.0,-0.06205328447821613,0.99807283796598
segmentation,-16.07416,-6.281548,2.459508,0.0,0.0,-0.06205328447821613,0.99807283796598
3pv,-17.27111,-6.1825220000000005,3.159508,0.006830120904068439,0.1098563950623125,-0.06167625516100328,0.9920085490869841
hood_Lidar2D,-15.91376,-6.36909,2.459508,0.0,0.0,-0.06205328447821613,0.99807283796598
Fence_Backyard_Tile (4),-68.58,-6.0,0.5,0.0,0.0,-0.7071068120951668,0.7071067502779265
Bone02,4.971581,6.956,4.822471,0.2807842302390194,0.4863328002808626,0.7165755169377115,0.41371506129884505
Tree_Trunk,4.963359,6.956,0.2512774,0.4999999999999999,-0.4999999999999999,0.5000000000000001,0.5000000000000001
TreeLarge_Skinned (10),5.0,6.956,0.22,0.0,0.0,0.7071067811865475,0.7071067811865475
FenceDark_Backyard_Tile (10),-35.5,47.5,0.5,0.0,0.0,0.7071067811865475,0.7071067811865475
Bone03,4.972291,6.956,4.824191000000001,0.36153271763296796,0.7753095220110056,0.4693495961166228,0.2188611335645277
Tree_Grate,4.963359,6.956,0.2584387,0.4999999999999999,-0.4999999999999999,0.5000000000000001,0.5000000000000001
Tree_Groundplane,4.9656720000000005,6.965767,0.26318800000000003,0.4999999999999999,-0.4999999999999999,0.5000000000000001,0.5000000000000001
Bone01,4.957463,6.956,0.2432061,0.5008016327544806,0.5008154833957672,0.49919703511651503,0.4991832292379133
Floor_Grass_8x8 (2),-60.0,31.0,0.5,0.4999999999999999,-0.4999999999999999,0.5000000000000001,0.5000000000000001
Lamp_Wall_Box (3),-54.0,27.5,2.5,0.5000000218556937,0.4999999781443053,0.5000000218556937,-0.4999999781443053
Flag_Usa (2),14.32,-2.9760000000000004,2.27,0.7065140097767727,0.028949231411634205,0.7065138683554315,-0.028949089990292897
Plant_FlowersWhite (2),-5.026,25.063000000000002,0.5441499,0.31905406798736197,-0.6310345227339925,0.3190539972766855,0.631034452023316
Plant_Climber_Short (3),-33.306999999999995,26.916,0.5529999999999999,-0.4999999999999999,0.4999999999999999,0.5000000000000001,0.5000000000000001
Fence_Frontyard_Tile_Left_2x,-49.75,4.0,0.151,0.0,0.0,0.7071067811865475,0.7071067811865475
Floor_Grass_8x8 (18),-28.0,-15.0,0.5,0.4999999999999999,-0.4999999999999999,0.5000000000000001,0.5000000000000001
Lamp_Garden_Small (19),-24.559,1.669,0.275,0.3910545623227192,-0.5429729092948434,0.4676556331627542,0.5775421697414174
Background_Bush_6x (20),-26.0,-20.0,0.5,0.4999999999999999,-0.4999999999999999,0.5000000000000001,0.5000000000000001
Fence_Frontyard_Tile_Left_2x (11),15.157,-1.063,0.359,0.0,0.0,-7.07106814212823e-08,0.9999999999999977
Floor_Grass_8x8 (29),-68.0,39.0,0.5,0.4999999999999999,-0.4999999999999999,0.5000000000000001,0.5000000000000001
Lamp_Garden_Pilar (15),-26.36,22.169,0.302,0.4999999999999999,-0.4999999999999999,0.5000000000000001,0.5000000000000001
Street_Sign (1),-81.172,6.792000000000001,0.1778036,0.7071067811865476,0.0,0.7071067811865476,0.0
Road_Corner (1),-87.0,12.0,0.0,0.7071067811865476,0.0,0.7071067811865476,0.0
Floor_Grass_2x8 (8),-42.0,48.0,0.5,0.0,-0.7071067811865476,-1.570092458683775e-16,0.7071067811865475
Road_Corner (2),33.0,12.0,0.0,0.0,-0.7071067811865476,-1.570092458683775e-16,0.7071067811865475
Background_Bush_6x (6),-8.0,53.0,0.5,0.4999999999999999,-0.4999999999999999,0.5000000000000001,0.5000000000000001
Roof_End_7x,-34.5,33.0,3.5,0.7071067811865439,7.071067109452468e-08,-0.7071067811865439,7.071067107489852e-08
Fence_Frontyard_Tile_Right_2x,-57.18,4.0,0.151,0.0,0.0,0.7071067811865475,0.7071067811865475
Floor_Grass_2x8 (13),-26.0,36.5,0.5,0.0,-0.7071067811865476,-1.570092458683775e-16,0.7071067811865475
Tree_Billboard (11),-49.2,97.5,5.33,0.0,0.0,-0.638176982854982,0.7698896924586741
Bone02,-31.97158,7.0,4.811471,0.4863327470538209,-0.28078431104386914,-0.4137151468825493,0.7165754719878807
Tree_Trunk,-31.963359999999998,7.0,0.24027729999999997,0.5000000218556937,0.4999999781443053,0.5000000218556937,-0.4999999781443053
TreeLarge_Skinned (2),-32.0,7.0,0.209,0.0,0.0,-0.7071068120951668,0.7071067502779265
Tree_Groundplane,-31.965670000000003,6.990232000000001,0.252188,0.5000000218556937,0.4999999781443053,0.5000000218556937,-0.4999999781443053
Tree_Grate,-31.963359999999998,7.0,0.2474387,0.5000000218556937,0.4999999781443053,0.5000000218556937,-0.4999999781443053
Bone01,-31.957459999999998,7.0,0.23220610000000003,0.500815461504752,-0.5008016546461004,-0.49918325105811423,0.4991970132969166
